speaker_a,speaker_b,scenes_together,mean_sentiment,std_sentiment,total_interactions,sentiment_trend,seasons_together
David,Pam,11,0.23505795454545453,0.2700973299830969,88,-0.8323346334777684,4
Nellie,Packer,11,0.1907964912280702,0.3619377197393837,57,0.0,1
Clark,Oscar,11,0.12179117647058824,0.3116918136346401,34,0.0,1
Danny,Jim,11,0.1351906976744186,0.324677679749348,86,0.0,1
Gabe,Nellie,11,0.015360784313725496,0.3375333546791391,51,-1.0,2
Robert,Stanley,11,0.16044893617021277,0.3191393205218116,47,-1.0,2
Dwight,Pete,11,0.1339674418604651,0.30038771126579467,43,1.0,2
Andy,Susan,11,0.10072659574468086,0.29950108413668447,94,0.0,1
Dwight,Group,10,0.03692826086956522,0.33981950558382645,46,-0.6454943062339996,4
Oscar,Pete,10,0.06828709677419355,0.28756855198642856,31,0.0,1
Gabe,Jo,10,0.10669462365591399,0.32267398286568866,93,-1.0,2
Charles,David,10,0.22496714285714284,0.2793186223250269,70,0.0,1
Angela,Robert,10,0.2699594594594595,0.3866271487366716,37,0.6725481462540419,3
Deangelo,Kevin,10,0.1462768115942029,0.3793839442351999,69,0.0,1
Man,Michael,10,0.1731904761904762,0.3493714787262868,84,0.5087383143165426,4
Dwight,Esther,10,0.13765373134328357,0.2932570017122204,67,0.0,1
Creed,Gabe,10,0.23707999999999996,0.3470961298801497,45,-0.20869920501306988,4
Helene,Jim,10,0.19672280701754383,0.3042555331951088,57,-1.0,2
Andy,Val,10,0.14025468749999997,0.3270459700722933,64,1.0,2
Kevin,Val,10,0.09246829268292683,0.32390089980900805,41,0.9999999999999998,2
Cathy,Dwight,10,0.04401764705882353,0.3343868682956634,85,0.0,1
Dwight,Man,10,0.12750833333333333,0.32697296182389285,60,-0.15285565892907813,5
Jim,Pete,10,0.1839987012987013,0.31239712675296516,77,-0.9879360998222104,3
Robert,Toby,10,0.11745400000000002,0.3971468515347944,50,-1.0,2
Clark,Phyllis,10,0.048715625000000005,0.30267974010223975,32,0.0,1
Katy,Michael,10,0.24766448598130844,0.32902808909218023,107,-1.0,2
Angela,Group,9,-0.006040740740740737,0.25839783747985606,27,0.6383842858339044,4
Angela,Holly,9,0.14369384615384614,0.3405719767490355,65,-0.9999999999999998,2
Robert,Susan,9,0.12643283582089548,0.3611140421793679,67,0.0,1
Group,Oscar,9,0.02301612903225807,0.2836203733716378,31,1.0,2
Jan,Kevin,9,0.18427142857142856,0.3154388620503345,63,-0.14201076985816583,4
Darryl,Lonny,9,0.038433333333333326,0.2636414806857302,69,-0.18667426559773528,3
Clark,Meredith,9,0.1420857142857143,0.33701048173004705,28,0.0,1
Michael,Michael and Dwight,9,0.12686562499999998,0.25692944448497795,64,-0.27518958288493633,5
All,Meredith,9,0.12447037037037037,0.38043847102152556,27,0.06733262840831278,5
Dwight,Jo,9,0.11651758241758241,0.35811384174156485,91,-0.9999999999999998,2
David,Erin,9,0.08340697674418605,0.3245885477033382,43,0.6542911675213876,3
All,Erin,9,0.18638181818181818,0.3068559354550062,22,-0.20785152679714833,4
Dwight,Trevor,9,0.06603552631578948,0.3861917146294146,76,0.0,1
Andy,Jan,9,0.09118375,0.27687766542452913,80,-0.30406798443840566,4
Captain Jack,Michael,9,0.2968412698412698,0.35040457960464977,63,0.0,1
Lonny,Michael,9,0.11399444444444444,0.3921796717948749,90,0.9389625133143715,3
